massloading_cpu(kg/sq-m)	massloading_gpu(kg/sq-m)	log10(cpu/gpu)
4.5656000000e-08	4.5656000000e-08	0.0000000000e+00
4.5426000000e-08	4.5426000000e-08	0.0000000000e+00
4.5474000000e-08	4.5474000000e-08	0.0000000000e+00
4.6083000000e-08	4.6083000000e-08	0.0000000000e+00
4.7265000000e-08	4.7265000000e-08	0.0000000000e+00
4.8849000000e-08	4.8849000000e-08	0.0000000000e+00
5.0623000000e-08	5.0623000000e-08	0.0000000000e+00
5.2295000000e-08	5.2295000000e-08	0.0000000000e+00
5.3688000000e-08	5.3688000000e-08	0.0000000000e+00
5.4756000000e-08	5.4756000000e-08	0.0000000000e+00
5.5526000000e-08	5.5526000000e-08	0.0000000000e+00
5.6061000000e-08	5.6061000000e-08	0.0000000000e+00
5.6189000000e-08	5.6189000000e-08	0.0000000000e+00
5.6290000000e-08	5.6290000000e-08	0.0000000000e+00
5.6365000000e-08	5.6365000000e-08	0.0000000000e+00
5.6415000000e-08	5.6415000000e-08	0.0000000000e+00
5.6441000000e-08	5.6441000000e-08	0.0000000000e+00
5.6444000000e-08	5.6444000000e-08	0.0000000000e+00
5.6425000000e-08	5.6425000000e-08	0.0000000000e+00
5.6385000000e-08	5.6385000000e-08	0.0000000000e+00
5.6324000000e-08	5.6324000000e-08	0.0000000000e+00
5.6245000000e-08	5.6245000000e-08	0.0000000000e+00
5.6148000000e-08	5.6148000000e-08	0.0000000000e+00
5.6034000000e-08	5.6034000000e-08	0.0000000000e+00
5.5903000000e-08	5.5903000000e-08	0.0000000000e+00
5.5757000000e-08	5.5757000000e-08	0.0000000000e+00
5.5597000000e-08	5.5597000000e-08	0.0000000000e+00
5.5423000000e-08	5.5423000000e-08	0.0000000000e+00
4.0529000000e-09	4.0529000000e-09	0.0000000000e+00
4.2461000000e-09	4.2461000000e-09	0.0000000000e+00
4.4050000000e-09	4.4050000000e-09	0.0000000000e+00
4.5376000000e-09	4.5376000000e-09	0.0000000000e+00
4.6406000000e-09	4.6406000000e-09	0.0000000000e+00
4.7113000000e-09	4.7113000000e-09	0.0000000000e+00
4.7404000000e-09	4.7404000000e-09	0.0000000000e+00
4.7287000000e-09	4.7287000000e-09	0.0000000000e+00
4.6712000000e-09	4.6712000000e-09	0.0000000000e+00
4.5598000000e-09	4.5598000000e-09	0.0000000000e+00
4.3911000000e-09	4.3911000000e-09	0.0000000000e+00
4.1668000000e-09	4.1668000000e-09	0.0000000000e+00
3.8837000000e-09	3.8837000000e-09	0.0000000000e+00
3.5512000000e-09	3.5512000000e-09	0.0000000000e+00
3.2006000000e-09	3.2006000000e-09	0.0000000000e+00
2.9874000000e-09	2.9874000000e-09	0.0000000000e+00
2.7746000000e-09	2.7746000000e-09	0.0000000000e+00
2.5890000000e-09	2.5890000000e-09	0.0000000000e+00
2.4575000000e-09	2.4575000000e-09	0.0000000000e+00
2.3870000000e-09	2.3870000000e-09	0.0000000000e+00
2.3672000000e-09	2.3672000000e-09	0.0000000000e+00
2.3721000000e-09	2.3721000000e-09	0.0000000000e+00
2.3777000000e-09	2.3777000000e-09	0.0000000000e+00
2.3723000000e-09	2.3723000000e-09	0.0000000000e+00
2.3750000000e-09	2.3750000000e-09	0.0000000000e+00
2.3824000000e-09	2.3824000000e-09	0.0000000000e+00
2.3911000000e-09	2.3911000000e-09	0.0000000000e+00
2.4079000000e-09	2.4079000000e-09	0.0000000000e+00
2.4350000000e-09	2.4350000000e-09	0.0000000000e+00
2.4665000000e-09	2.4665000000e-09	0.0000000000e+00
2.4905000000e-09	2.4905000000e-09	0.0000000000e+00
